text,migration_relevance,compound_polarity,negative_polarity,neutral_polarity,positive_polarity
jordanbos97 that means so much thank you thank you thank you,0.0,0.8092,0.0,0.49,0.51
rt laker_show jordan clarkson imitating kobes fadeaway jumper,0.0,0.0,0.0,1.0,0.0
rt ulusoybetuel you have to unterstand that no one puts their children in a boat unless the water is safer than the land refugeeswelc,0.0,0.1531,0.085,0.808,0.108
europe tightens borders to stop flow of migrants liveleakfun,0.0,-0.296,0.216,0.784,0.0
she looks like a campaign poster for neglected horses,0.0,-0.2263,0.286,0.504,0.21
rt realdonaldtrump yet another weak hit by a candidate with a failing campaign will jeb sink as low in the polls as the others who have,0.0,-0.8074,0.283,0.717,0.0
snewhardy heading to toronto then calgary then kamloops,0.0,0.0,0.0,1.0,0.0
rt gwcampusrec supporting gw_volleyball raisehigh homeopener,0.0,0.4404,0.0,0.633,0.367
rt insan_divya msgswachhbharat campaign are carried out periodically with aim to prevent diseases along with promoting awareness towards,0.0,0.3818,0.0,0.816,0.184
sara_sampaio hello saraif you have a second could you follow campbellhesshes been trying for so long means a lot to her,0.0,0.0,0.0,1.0,0.0
rt brexitwatch in case of brexit france would no longer be under any obligation to prevent migrants from crossing the channel,0.0,-0.2732,0.099,0.852,0.049
rt cmomaharashtra cm dev_fadnavis at a fodder camp run by a village cooperative society in aashivausa talukalatur droughtrelief http,0.0,0.0,0.0,1.0,0.0
rt anisha_dss derasachasauda wow amazed to see d undying spirit of dssvolunteers for msgswachhbharat campaign its all because of gur,0.0,0.8271,0.0,0.648,0.352
rt sporty_kidz at sporty kidz camps amp parties we love running parachute games so many happy faces woking sportykidz happy http,0.0,0.9419,0.0,0.534,0.466
rt frjamesbradley just celebrated the first mass at the new shrine of our lady of hungary at marysshrine - they only told me after http,0.0,0.5719,0.0,0.861,0.139
rt bopanc munich police we are overwhelmed with donations for refugees pls stop german positive response to refugeecrisis,0.0,0.4404,0.099,0.628,0.274
jordandikeman himify payton6280 go to bed jake,0.0,0.0,0.0,1.0,0.0
rt msleamichele new month new hashtag i wanna see your back-to-school looks tag your pics with youfirstcampus,0.0,0.0,0.0,1.0,0.0
icelanders call on government to take in more syrian refugees,0.0,0.0,0.0,1.0,0.0
rt lotteleicht1 wonderful refugees welcome banners draped across football stadiums in germany this weekend via markito0171 http,0.0,0.7717,0.0,0.691,0.309
rt cnni auschwitz showers are offending some visitors to the former nazi death camp,0.0,-0.802,0.375,0.625,0.0
camppo dont worry mate im probably fielding myke pyke to cover sandi this week,0.0,0.3412,0.0,0.844,0.156
breakingnews migrants sleeping on budapests streets after train station is closed to st,0.0,0.0,0.0,1.0,0.0
rt maxcroser icelands government wanted to accept 50 syrian refugeesicelanders reaction see screenshot http,0.0,0.3818,0.0,0.833,0.167
at campuslondon for techhub demo night few minutes before starting,0.0,0.0,0.0,1.0,0.0
rt realjameswoods this is a well thought out dissection of pc insanity how trigger warnings are hurting mental health on campus http,0.0,-0.7579,0.31,0.614,0.076
who is ready for tulum and round2 of aeromethodology trainingcamp2015 aerospacehpc fortunately we,0.0,0.3612,0.0,0.828,0.172
rt dvgtworld behind the scenes with theo hugobosscampaign,0.0,0.0,0.0,1.0,0.0
as if i dont already have an incredible one with usa today 3 campus jobs amp im a full time youtuber,0.0,0.0,0.0,1.0,0.0
rt rizwansajid8 sirajofficial addressing ahbab jamiat uk summer camp on the topic of jamiat ki yaadainsirajulhaqukvisit,0.0,0.0,0.0,1.0,0.0
authentic jordan 11 retro 72-10 yeezy boost 350,0.0,0.4019,0.0,0.722,0.278
rt carnegieendow judy_dempsey open europe now in jeopardy as governments build walls against refugees russia and the roma http,0.0,-0.4767,0.147,0.853,0.0
rt mrhalimi we live in a world where a syrian refugee survives by selling pens while carrying his daughterdownwithassad,0.0,0.0,0.0,1.0,0.0
rt campandfurnace call for food traders mail iancampandfurnacecom with your details to be part of our food events,0.0,0.0,0.0,1.0,0.0
and jus when you thought it was safe to hit the breaks uk birmingham usa germany liftoff,0.0,0.4404,0.0,0.847,0.153
news update watch syrian refugee raises 160k through crowfunding via timeslive,0.0,0.0,0.0,1.0,0.0
rt realdonaldtrump im turning down millions of dollars of campaign contributionsfeel totally stupid doing so but hope it is appreciate,0.0,0.7558,0.086,0.626,0.288
video member states should share burden step up to plate to help refugees un sec gen,0.0,0.25,0.139,0.625,0.236
rt ajenglish meet the man at the centre of the buypens charity campaign,0.0,0.4215,0.0,0.811,0.189
rt wikileaksparty in the uk rupert murdoch and his son james campaigned against the taxpayer funding of the bbc they are in,0.0,0.0,0.0,1.0,0.0
rt cmomaharashtra cm dev_fadnavis visits ration shopdistributes food grains amp interacts with farmers in yerollaturdroughtrelief htt,0.0,0.0,0.0,1.0,0.0
rt ani30oct drought relief work scaled up cm devendra fadnavis to tour worst affected districts from sept 1droughtrelief,0.0,-0.3818,0.239,0.63,0.13
rt cooliesteezn i know right wadda relief,0.0,0.4767,0.0,0.617,0.383
rt apunkfemme donald trump my parents didnt come from germany to see america be taken over by immigrantsme,0.0,0.0,0.0,1.0,0.0
guffer44 ur ndp followers amp u whom campaign for them seem to have some sort of stereotype on me that i am a drunk it started w ur tweet,0.0,-0.6115,0.178,0.822,0.0
rt mikayla__jordan i really love the peace of campus at this time,0.0,0.8503,0.0,0.522,0.478
rt chara_fc refugees wait behind a fence guarded by police as the keleti train terminal in budapest was closedsept 1,0.0,0.0,0.0,1.0,0.0
jordan_hellrung are you in class will you come to the gym with me plz,0.0,0.0772,0.0,0.909,0.091
spacejordan whats wrong jordy,0.0,-0.4767,0.508,0.492,0.0
mint for colic relief simple,0.0,0.4767,0.0,0.563,0.437
rt realdonaldtrump yet another weak hit by a candidate with a failing campaign will jeb sink as low in the polls as the others who have,0.0,-0.8074,0.283,0.717,0.0
building on the drinkable advertisingcampaign building on history could this be the way forward for advertising,0.0,0.0,0.0,1.0,0.0
rt kobejordann check out kobejordan airwade- moving fastthe window by kobejordan_airwade - hiphop mtv2 thats,0.0,0.0,0.0,1.0,0.0
rt ukip ukip leader nigel_farage ill work with absolutely anyone to get a no vote in this campaign,0.0,-0.6124,0.25,0.75,0.0
literally sweating right now cause i just had to sprint across campus to get to class on time,0.0,0.0,0.0,1.0,0.0
call centre agent - technical support jobpostingdopcdqcampwidpvampsortdampid18014390ampsourcerss,0.0,0.4019,0.0,0.649,0.351
kunalkdhawan o instantly needs a walking stick and help crossing roads feelold,0.0,0.4019,0.0,0.769,0.231
rt simonpeach victor ibarbo set to join watfordfc this is waiting at heathrow t5 arrivals,0.0,0.296,0.0,0.864,0.136
i will promote your crowdfunding campaign for 5,0.0,0.3818,0.0,0.658,0.342
notting hill carnival hundreds of arrests and police officers stabbed and bitten,0.0,-0.7003,0.367,0.633,0.0
rt totterdell91 france germany uk amp some us states are fast finding out re is far more costly than alternatives,0.0,-0.1761,0.082,0.918,0.0
this is how one german town welcomed a coach-load of syrian refugees 300000 people have been killed in syria,0.0,-0.4767,0.197,0.699,0.105
rt makeitingermany life and work in germany more information,0.0,0.0,0.0,1.0,0.0
_clayy_jordan i gotta change my head gaskets,0.0,0.0,0.0,1.0,0.0
rt littlesun the campaign launches tomorrow support our kickstarter so we can produce the first batch of new little sun charge,0.0,0.4019,0.0,0.881,0.119
rt theeconomist these are the main routes migrants take to reach europe,0.0,0.0258,0.0,0.909,0.091
rt mihanam_iran1 2 year after campashraf massacre criminals should answer freethe7 ashrafmassacre amnesty unhcr iran,0.0,-0.5719,0.222,0.778,0.0
andreasenjordan but for realz why did you ask if anyone goes to that dentist,0.0,0.0,0.0,1.0,0.0
rt baileyrlowery missing my camp fam,0.0,-0.296,0.306,0.694,0.0
rt ajenews trains from hungary carrying hundreds of refugees arrive in vienna and munich,0.0,0.0,0.0,1.0,0.0
longlivevane im not saying that see thats the thing with all you fucking idiots were talking about illegal immigrants not every mexican,0.0,-0.5574,0.146,0.854,0.0
5 days of riverradness is rafting kayaking supping and camping w hipcampers snag a trip for two 5k in gear,0.0,0.0,0.0,1.0,0.0
download - refugees in international relations,0.0,0.0,0.0,1.0,0.0
jordandupee14 cassieclos i dont know maaannnnnnn,0.0,0.0,0.0,1.0,0.0
weurgebail4bapuji -our constitution gives fundamental right to justice amp relief against injustice no human rights 4 bapu,0.0,0.1531,0.242,0.492,0.266
rt tkoth3 let our boy jordanwilson_21 play mhsaa he didnt do anything wrong,0.0,0.6065,0.0,0.689,0.311
rt theeveappeal our ceo athenalamnisos1 amp theroobarb a fantastic womb cancer campaigner raising awareness for gynaecancer,0.0,-0.2023,0.21,0.619,0.171
rt leb4refugees another way to support syrian refugees is buymouneh from the houseofmouneh project supporting refugeesbuypens https,0.0,0.6808,0.0,0.728,0.272
in germany for 4 days themattespinosa love uur snapchat stories always make me smile and laugh,0.0,0.8834,0.0,0.538,0.462
siala so many posters entire sg got the campaigning posters isit,0.0,0.0,0.0,1.0,0.0
rt emilyanne29 missing dog liberty libby is lost she is on osu campus last seen on indianola and 6th 2 year old female reward rt http,0.0,0.5574,0.138,0.644,0.218
rt lakersnation video jordan clarkson imitates kobe bryants fadeaway jumper,0.0,0.0,0.0,1.0,0.0
rt brookscamp lots of sockeye salmon spawning in the river now,0.0,0.0,0.0,1.0,0.0
fantysmal pvtcheeks cy_thedreadhead hey snoopdogg are jordan and cyrus haters,0.0,-0.4939,0.262,0.738,0.0
rt pitchcontroldj repost djcamphrc with repostapphard rock cafe caracas y pitch control abren las inscripciones,0.0,0.0,0.0,1.0,0.0
rt 5sos thank you to everyone in the uk amp germany supporting the skh ep pick it up here if you like,0.0,0.7845,0.0,0.706,0.294
iwishicouldforget that one time at band camp tagtherapy,0.0,0.0,0.0,1.0,0.0
i liked a youtube video from lottie_games campers - lorde royals parody call of duty ghosts,0.0,0.4215,0.0,0.811,0.189
newelllondon jazzorenee faster34me what significance is buying jordans dont white people stand overnight to buy 1000 apple products,0.0,0.2732,0.0,0.89,0.11
jrossall94 happy birthday jordan x,0.0,0.5719,0.0,0.448,0.552
rt airjordann_23 still need a homecoming date,0.0,0.0,0.0,1.0,0.0
rt chscampusnews wednesday 99- once upon a time dress up like your favorite prince princess or fairy tale character,0.0,0.6705,0.0,0.744,0.256
rt 4freedominiran residents r deprived access 2 entclinic in baghdad y_silence on campliberty blockade ashrafmassacre freethe7 http,0.0,-0.4767,0.181,0.819,0.0
their howls of surprise echo throughout the valley over at the google campus sundar smiles,0.0,0.6369,0.0,0.714,0.286
rt sawyerlively walks across campus 5 minsgets drenched in sweat,0.0,0.0,0.0,1.0,0.0
rt macfound hundreds in connecticut jailed on bonds of less than 20k via hartfordcourant,0.0,-0.4939,0.198,0.802,0.0
rt woridpixx cologne at dusk germany,0.0,0.0,0.0,1.0,0.0
the amount of people on campus that comment on my mariners hats is pretty awesome,0.0,0.8074,0.0,0.64,0.36
rt man1red1 david degea arrives at spains training camp mufc,0.0,0.0,0.0,1.0,0.0
happiness is crossing into utah after driving cross country and being greeted by a dinosaur,0.0,0.6908,0.0,0.678,0.322
rt _jordangabriele loving someone is hard but getting over someone that you love is 10x harder,0.0,0.8422,0.053,0.579,0.367
